title,dj_names,time,day,description,genres
The Bins (HHC),"dj dirty chai, dj macnsauce",07:00 PM,Sunday,UCLA Radio's signature music programming; rotating djs playing the latest and greatest and talking the music scene. Hosted by partner DJs from UCLA's Hip Hop Congress. ,Live-Mix/ Dance/ ISP
The Higher Education,dj thot son,08:00 PM,Sunday,"Joint in hand, a near-graduating fifth year college student, trying to bide their college years, reflects on their atypical college experience. From community college, to studying abroad twice, to transferring to UCLA during a worldwide pandemic, this show aims to highlight what Dj Gay Fatty! truly learned during their peculiar college experience while inspiring listeners to consider pursuing higher education. ",Standard Talk/ Advice
Dear Black Child,DJ Faith,09:00 PM,Sunday,"A compliation of the experiences of being Black/POC youth in predominantly white/non-Black spaces. The show highlights trials & triumphs, mistakes & growth, and reminds you that you are not alone. I hope to provide a space to articulate the feelings of misrepresented groups outside of the majority. ",Social Commentary
The Riff,"DJ Robi, DJ Kathryn",10:00 PM,Sunday,"The Riff, a Shenanigans Comedy Club Podcast, is a show where we spotlight comedians from various student clubs as well as from the Los Angeles comedy scene. Tune in to hear us riff.",Comedic
The Namesake,"DJ Special K, DJ Hot Chocolate",10:00 AM,Thursday,"The Namesake is a show centered around artists that share the same name, but not the same style. Weekly, we will have a different name as the focal point of discussion, while delving into each artists’ history and discography. ",Music Analysis/ Commentary
Queercoded,DJ fabianxcx,11:00 AM,Thursday,,
Taboo Talks: Unpacking The Shit We Don’t Talk About ,Dj Doof,12:00 PM,Thursday,A time to listen and engage in honest dialogue on often uncomfortable subjects: from sex to politics to death to self growth. ,Social Commentary
Jazz (We Got),DJ ColeCuts,01:00 PM,Thursday,"Jazz (We Got) explores in development of Jazz and the importance of it in the evolution of other genres. Each week, I explore a different aspect of music and discuss its important in regards to jazz. This is largely a music based show with intermittent commentary and analysis",Other
Nothing 2: Electric Boogaloo,"DJ Cucker Tarlson, DJ Little Bear",02:00 PM,Thursday,"Nothing 2: Electric Boogaloo is a show about Nothing. It is the sequel to Nothing (the greatest show in UCLA Radio history), and thus it picks up right where Nothing left off.",Other
Boots n' Cats Radio,DJ Roro,03:00 PM,Thursday,"The world of electronic music is an overwhelming one, with enough subgenres to make anyone's head hurt. Boots n Cats Radio aims to dive into different genres weekly, featuring curated live DJ sets and insight into the genre's history.",Live-Mix/ Dance/ ISP
Techno News Hour,DJ Sad Cowboy,04:00 PM,Thursday,DJ Sad Cowboy curates your Thursday afternoon with the latest headlines and freshest techno. ,Live-Mix/ Dance/ ISP
Speak Out,"Christopher, Judah",05:00 PM,Thursday,,
Crushing,Dj Ditch Bitch ,07:00 PM,Thursday,"Surfing was the first thing I fell in love with. But my second crush didn’t like me back—and that’s really where Crushing was born. Crushes are mirrors, and Crushing explores crushes as a lens for self-discovery. For me, Crushing is about the thing I love the most and the romantic love I can’t seem to find. But crushes come in many forms: romantic, celebrities, things we’re passionate about, just cool people in our lives. What's in store for crushing? Introspection, self respect, and translucence—that’s where Crushing’s going. Oh, and people crushing it at the things they're crushing on. 
",Social Commentary
Ending Overdose,"DJ Maddie, DJ Lauren, DJ Gelato",08:00 PM,Thursday,,
Whine and Cheese Hour,"DJ workwife, DJ twinkhusband",09:00 PM,Thursday,,
Westwind Presents: What We're Reading ,"DJ Jade, DJ Ruby",10:00 AM,Tuesday,,
Eraz,DJ CJ,11:00 AM,Tuesday,"You can tell a lot about an artist by the music they make, and even more about a person by the music they listen to. Here we analyze the eras of our lives by the songs we loved during them.",Music Analysis/ Commentary
No Joy in Mudville,DJ Tintin,12:00 PM,Tuesday,"No Joy in Mudville will explore the depths of melancholia in music, from slowcore to trip hop. Playing tunes to help you feel less alone in your sadness. ",Music Analysis/ Commentary
Headphone Audio Exposure Notification,DJ Blood Bend,01:00 PM,Tuesday,,
Not a Phase,DJ Furby,02:00 PM,Tuesday,Not a phase -  emo music from the 80s to today w dj furby (bc its NOT a phase),Music Analysis/ Commentary
Unoriginal,DJ Evil Eye,03:00 PM,Tuesday,"It's undeniable that art and music go hand-in-hand. On each episode of ""Unoriginal"", DJ Evil Eye dives into a specific SWANA artist or artwork, accompanied by a curated setlist, bringing artists and musicians into conversation with each other. ",Lifestyle (Food/ Art/ Fashion/ Film)
first of all…,DJ K.K. Slider,04:00 PM,Tuesday,"first of all…allows DJ K.K. Slider and friends to dissect and provide their opinions on a fitting topic for the week. from anime to social media dating, oversharing is safe (and encouraged) for an hour each week.",Social Commentary
Daft Punk is Playing in my Radio Station,"dj effy babez, dj chainmail",05:00 PM,Tuesday,"We're looking into the popular indie rock club scene in the New York in the 2000s, and how it's making a comeback as the Indie Sleaze movement.",Music Analysis/ Commentary
SOUP!!!,"DJ Deaf Boy, DJ Lil Klit",06:00 PM,Tuesday,"DJ Deaf Boy and DJ Lil Klit blend the musical and cultural flavors of the week to bring you ""SOUP!!!"" This might include album reviews, pop culture commentary, and anything else we find exciting and interesting. We hope you can join us!",Music Analysis/ Commentary
The Bins,"dj jaxidermy, dj moog jam, dj herb, DJ Amanita, Dj Doof",07:00 PM,Tuesday,,
the bakery.,DJ Jonathan,08:00 PM,Tuesday,Interview with artist + live show performances :D,Music Analysis/ Commentary
Classwerk,"DJ Shoe, DJ Lace ",09:00 PM,Tuesday,"We will discuss concepts that we have learned through various classes inside and outside of the classroom. For instance, we could share experiences of teaching surfing classes, favorite topics covered in UCLA classes, or what we would like to learn about or teach in the future. Our weekly show would also include poems we've written or music we're listening to.",Social Commentary
Gayley's Declassified,"DJ Candy, DJ K.,K Slider, DJ Gay Fatty, DJ BluWisp, DJ Snack Sized",10:00 PM,Tuesday,An informal and free discussion curated by the most chaotic UCLA students. We will spew toxic nonsense and bond over our worst traits all while discussing our favorite pop culture moments and how they intersect with our lives. ,Standard Talk/ Advice
Doing it for the Bit,"GayJay, Cuntness Everdeen, Izzie ",10:00 AM,Wednesday,,
Girl Next Door,dj eazy breezy,11:00 AM,Wednesday,"I suffer from ""girl-next-door syndrome"" meaning everyone assumes I am the epitome of sweet and wholesome and thus patronizes me; however, I am more than capable of having deep, meaningful thoughts and opinions. The premise of the show would play off of this and feature primarily post-punk/angry political music that juxtaposes others' perceptions of me and empower others who feel the same. ",Rock/ Experimental
Off the Record,DJ Cloud,12:00 PM,Wednesday,"Tune in to hear a variety of songs from the biggest vinyls. Off the Record mixes music from the 70s, 80s, and 90s for a lovely hour of great tunes. ",Other
two3rds,"dj eazy breezy, dj b-roll, dj tbd",01:00 PM,Wednesday,"Two queer people and a token straight delve into the intricacies of adult life, touching on topics such as dating, wellness, mental health, music, coming of age, and lifestyle struggles and successes. With weekly themes and a Spotify taste match of 75%, two3rds has a little something for everyone and is sure to broaden your horizons. #hotgirlslovefractions",Other
Cherry Pop Radio,"DJ Hot Chip and Lie, DJ Gemini Rising",02:00 PM,Wednesday,,
Z-Sides,"DJ One Hit Wonder, DJ Commercial Flop",03:00 PM,Wednesday,"Each week, we explore strange and fascinating stories from artists on the margins of popular music around the world. ",Music Analysis/ Commentary
Earthling,DJ Crop Circle ,04:00 PM,Wednesday,Join me on my journey of discovering the beauty of plants + the power they hold! I will be digging into different species of plants and how they are related to spirituality.,Spirituality/ Environment
Ballin w Bruins,"Dj $olo, dj lil cat",05:00 PM,Wednesday,,
Fem Radio,Fem Radio Staff,06:00 PM,Wednesday,,
Blonde Hour,DJ Kelsatron,07:00 PM,Wednesday,,
Mixed Bag,DJ DJ Ira Glass,08:00 PM,Wednesday,,
The Unbearable Lightness of Posting,dj peed the bed,09:00 PM,Wednesday,sometimes putting a song on your instagram story is the only way you can tell world who you are and how you're feeling. this act is an art and this show provides you with firsthand accounts from well-season professionals to make sure you get it right. ,Standard Talk/ Advice
Cunty Booth Time ,dj e scented poppers,10:00 PM,Wednesday,,
